ACSSF,2010m5,ar,001,0005,0000047,284,223,227,1547,749,1117,966,563,574,951,352,867,711,438,400,91,75,43,284,1547,1535,825,825,119,1472,637,1318,951,711,41,321,525,135,91,119,119,91,284,1547,1535,980,836,624,899,750,378,498,310,91
ACSSF,2010m5,ar,001,0005,0000048,127,153,158,546,341,323,527,297,302,264,185,111,178,144,54,19,19,119,127,546,535,319,319,119,469,418,306,264,178,23,31,139,93,19,119,119,19,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000049,67,147,145,251,184,179,159,112,88,172,119,116,66,47,26,119,119,119,67,251,245,108,108,119,250,141,189,172,66,119,19,65,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000050,64,78,77,487,331,246,363,234,185,271,207,114,121,59,96,19,16,7,64,487,492,195,195,119,539,386,321,271,121,119,96,71,31,19,119,119,19,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000051,60,131,134,356,253,257,206,98,140,233,150,132,203,79,131,46,46,119,60,356,344,158,158,119,315,120,315,233,203,119,78,186,119,46,119,119,46,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000052,71,291,282,435,343,333,365,181,242,341,251,126,89,56,48,119,119,119,71,435,440,320,320,119,388,192,347,341,89,119,83,32,119,119,119,119,119,71,435,440,352,89,340,102,67,78,84,229,119
ACSSF,2010m5,ar,001,0005,0000053,59,137,144,471,266,288,351,234,154,144,45,117,253,176,112,119,119,119,59,471,474,283,283,119,392,234,291,144,253,49,83,256,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000054,124,161,151,600,387,325,490,309,224,302,133,216,217,121,123,28,27,14,124,600,567,295,295,119,546,448,316,302,217,36,73,172,103,28,119,119,28,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000055,196,172,155,1104,591,637,820,483,449,742,385,441,457,244,263,112,103,36,196,1104,1081,637,637,119,972,638,868,742,457,62,221,328,215,112,119,119,112,196,1104,1081,891,291,787,451,310,288,388,338,112
ACSSF,2010m5,ar,001,0005,0000056,81,63,93,520,298,310,331,182,212,208,108,152,295,194,115,90,86,13,81,520,507,119,119,119,505,303,384,208,295,44,40,275,98,90,119,119,90,81,520,507,404,127,379,295,262,120,77,51,90
ACSSF,2010m5,ar,001,0005,0000057,72,92,113,385,220,248,223,149,113,228,93,163,210,119,113,20,17,13,72,385,383,98,98,119,365,194,314,228,210,119,115,45,165,20,119,119,20,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000058,188,180,130,1005,572,533,864,481,478,274,176,171,561,337,308,121,97,70,188,1005,972,683,683,119,700,362,616,274,561,119,46,550,87,121,119,119,121,188,1005,972,881,850,347,293,208,211,189,218,121
ACSSF,2010m5,ar,001,0005,0000059,171,159,194,1014,569,565,919,520,493,416,215,318,483,277,304,148,112,55,171,1014,1015,781,781,119,785,506,636,416,483,119,426,231,8,148,119,119,148,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000060,47,109,103,272,198,166,224,126,133,142,53,107,77,71,28,119,119,119,47,272,265,162,162,119,189,150,158,142,77,12,24,72,5,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000061,67,108,93,371,223,206,177,129,93,267,145,145,162,112,83,13,13,119,67,371,382,84,84,119,351,139,303,267,162,12,59,129,104,13,119,119,13,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000062,101,110,80,477,257,305,320,144,246,209,154,82,135,99,53,5,119,5,101,477,434,198,198,119,378,247,216,209,135,119,48,133,119,5,119,119,5,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000063,49,49,45,285,154,174,183,134,72,135,56,115,113,45,77,8,119,8,49,285,260,48,48,119,256,175,165,135,113,119,32,107,18,8,119,119,8,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000064,118,86,118,598,346,361,443,241,294,393,249,181,232,134,132,26,8,25,118,598,615,299,299,119,525,392,454,393,232,119,200,121,34,26,119,119,26,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000065,63,76,76,385,231,243,250,87,184,271,212,128,49,35,27,6,119,6,63,385,367,80,80,119,366,250,268,271,49,119,119,49,119,6,119,119,6,63,385,367,324,89,306,69,32,63,69,89,6
ACSSF,2010m5,ar,001,0005,0000066,130,103,114,665,387,391,571,302,333,249,155,120,269,140,204,21,18,10,130,665,690,583,583,119,433,306,357,249,269,119,16,269,49,21,119,119,21,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000067,75,115,110,372,252,184,286,152,147,253,145,135,72,66,27,4,4,119,75,372,375,154,154,119,316,214,262,253,72,119,29,67,6,4,119,119,4,119,119,119,119,119,119,119,119,119,119,119,119
ACSSF,2010m5,ar,001,0005,0000068,88,115,116,558,314,359,568,285,345,339,182,174,243,79,201,54,54,119,88,558,571,448,448,119,518,416,410,339,243,119,21,260,107,54,119,119,54,88,558,571,564,112,579,252,260,174,83,290,54
ACSSF,2010m5,ar,001,0005,0000069,121,120,158,571,269,410,426,218,255,200,100,127,145,89,78,34,33,9,121,571,524,256,256,119,425,308,224,200,145,64,44,107,43,34,119,119,34,119,119,119,119,119,119,119,119,119,119,119,119
