GEO_ID,COUNTY,TOTAL,TOTALurban,TOTALinsideurbanizedareas,TOTALurbanclusters,TOTALrural,STATE
22025,Catahoula Parish,10407,0,0,0,10407,Louisiana
27103,Nicollet,32727,24358,13344,11014,8369,Minnesota
47119,Maury,80956,47284,0,47284,33672,Tennessee
13127,Glynn,79626,63250,51024,12226,16376,Georgia
19101,Jefferson,16843,10320,0,10320,6523,Iowa
40053,Grant,4527,0,0,0,4527,Oklahoma
19029,Cass,13956,6471,0,6471,7485,Iowa
8099,Prowers,12551,7796,0,7796,4755,Colorado
24045,Wicomico,98733,73254,73254,0,25479,Maryland
21111,Jefferson,741096,730920,730920,0,10176,Kentucky
51115,Mathews,8978,0,0,0,8978,Virginia
8041,El Paso,622263,566668,559360,7308,55595,Colorado
6103,Tehama,63463,30787,0,30787,32676,California
48159,Franklin,10605,3274,0,3274,7331,Texas
31121,Merrick,7845,3225,404,2821,4620,Nebraska
17151,Pope,4470,0,0,0,4470,Illinois
39129,Pickaway,55698,27924,2696,25228,27774,Ohio
54105,Wirt,5717,0,0,0,5717,WestVirginia
12091,Okaloosa,180822,158944,126512,32432,21878,Florida
21151,Madison,82916,50979,0,50979,31937,Kentucky
1133,Winston,24484,3699,0,3699,20785,Alabama
37115,Madison,20764,1948,1948,0,18816,NorthCarolina
29187,St. Francois,65359,39370,0,39370,25989,Missouri
54047,McDowell,22113,3098,0,3098,19015,WestVirginia
37107,Lenoir,59495,32719,0,32719,26776,NorthCarolina
31085,Hayes,967,0,0,0,967,Nebraska
31177,Washington,20234,7844,0,7844,12390,Nebraska
1077,Lauderdale,92709,47008,47008,0,45701,Alabama
55123,Vernon,29773,4260,163,4097,25513,Wisconsin
19087,Henry,20145,8636,0,8636,11509,Iowa
40025,Cimarron,2475,0,0,0,2475,Oklahoma
13159,Jasper,13900,2535,0,2535,11365,Georgia
50013,Grand Isle,6970,0,0,0,6970,Vermont
51131,Northampton,12389,0,0,0,12389,Virginia
47167,Tipton,61081,27410,0,27410,33671,Tennessee
28013,Calhoun,14962,0,0,0,14962,Mississippi
26057,Gratiot,42476,16924,0,16924,25552,Michigan
20167,Russell,6970,4108,0,4108,2862,Kansas
48441,Taylor,131506,110421,110421,0,21085,Texas
47073,Hawkins,56833,23949,17505,6444,32884,Tennessee
19015,Boone,26306,12986,193,12793,13320,Iowa
20125,Montgomery,35471,20068,0,20068,15403,Kansas
1083,Limestone,82782,35092,10136,24956,47690,Alabama
54075,Pocahontas,8719,0,0,0,8719,WestVirginia
35027,Lincoln,20497,9596,0,9596,10901,NewMexico
49049,Utah,516564,499378,483708,15670,17186,Utah
27073,Lac qui Parle,7259,0,0,0,7259,Minnesota
2275,Wrangell City and Borough,2369,0,0,0,2369,Alaska
27101,Murray,8725,0,0,0,8725,Minnesota
1107,Pickens,19746,0,0,0,19746,Alabama
17165,Saline,24913,14035,0,14035,10878,Illinois
48117,Deaf Smith,19372,15941,0,15941,3431,Texas
39121,Noble,14645,5488,0,5488,9157,Ohio
38007,Billings,783,0,0,0,783,NorthDakota
54063,Monroe,13502,1550,0,1550,11952,WestVirginia
35047,San Miguel,29393,15609,0,15609,13784,NewMexico
18021,Clay,26890,10517,10517,0,16373,Indiana
22115,Vernon Parish,52334,26221,0,26221,26113,Louisiana
27139,Scott,129928,107529,87904,19625,22399,Minnesota
26011,Arenac,15899,0,0,0,15899,Michigan
31185,York,13665,7633,0,7633,6032,Nebraska
2100,Haines Borough,2508,0,0,0,2508,Alaska
48437,Swisher,7854,4903,0,4903,2951,Texas
13139,Hall,179684,142747,140189,2558,36937,Georgia
29031,Cape Girardeau,75674,52591,52591,0,23083,Missouri
5099,Nevada,8997,2773,0,2773,6224,Arkansas
54045,Logan,36743,10747,0,10747,25996,WestVirginia
40149,Washita,11629,2876,0,2876,8753,Oklahoma
72039,Ciales Municipio,18782,11561,11561,0,7221,PuertoRico
53065,Stevens,43531,9052,0,9052,34479,Washington
18011,Boone,56640,37153,21738,15415,19487,Indiana
49029,Morgan,9469,3518,0,3518,5951,Utah
21033,Caldwell,12984,5890,0,5890,7094,Kentucky
46045,Edmunds,4071,0,0,0,4071,SouthDakota
31163,Sherman,3152,0,0,0,3152,Nebraska
16057,Latah,37244,24212,0,24212,13032,Idaho
48153,Floyd,6446,3009,0,3009,3437,Texas
37123,Montgomery,27798,6439,0,6439,21359,NorthCarolina
16051,Jefferson,26140,8728,0,8728,17412,Idaho
48099,Coryell,75388,60745,45435,15310,14643,Texas
20067,Grant,7829,6279,0,6279,1550,Kansas
20021,Cherokee,21603,11004,0,11004,10599,Kansas
47061,Grundy,13703,0,0,0,13703,Tennessee
13075,Cook,17212,6986,0,6986,10226,Georgia
30013,Cascade,81327,65207,65207,0,16120,Montana
47079,Henry,32330,10718,0,10718,21612,Tennessee
53043,Lincoln,10570,0,0,0,10570,Washington
